,,"Listado de productos Bioequivalentes, actualizado al 21 de Agosto de 2015",,,,,
"388","CETIRIZINA","REMITEX COMPRIMIDOS RECUBIERTOS 10 mg","F‐9692","LABORATORIO BAGÓ DE CHILE S.A.","RESOLUCIÓN RW N°7731","22‐04‐2014","Antialérgico"
"389","ATORVASTATINA","ZARATOR COMPRIMIDOS RECUBIERTOS 10 mg","F‐86","ROERIG S.A.","RESOLUCIÓN RW N°7732","22‐04‐2014","Disminución del colesterol"
"390","ATORVASTATINA","ZARATOR COMPRIMIDOS RECUBIERTOS 20 mg","F‐87","ROERIG S.A.","RESOLUCIÓN RW N°7733","22‐04‐2014","Disminución del colesterol"
"391","BETAHISTINA","MICROSER COMPRIMIDOS 24 mg","F‐17909","GRÜNENTHAL CHILENA LTDA.","RESOLUCIÓN N° 1415","23‐04‐2014","Antivertiginoso"
"392","QUETIAPINA","EUFRENIM COMPRIMIDOS RECUBIERTOS 100 mg","F‐19312","NOVARTIS CHILE S.A.","RESOLUCIÓN N° 1416","23‐04‐2014","Trastornos mentales"
"393","QUETIAPINA","EUFRENIM COMPRIMIDOS RECUBIERTOS 25 mg","F‐19311","NOVARTIS CHILE S.A.","RESOLUCIÓN N° 1417","23‐04‐2014","Trastornos mentales"
"394","CITALOPRAM","CITALOPRAM COMPRIMIDOS 20 mg","F‐17253","MINTLAB  CO. S.A.","RESOLUCIÓN N° 1418","23‐04‐2014","Antidepresivo"
"395","SILDENAFIL","PLUSEFEC COMPRIMIDOS RECUBIERTOS 50 mg","F‐9433","CHEMOPHARMA  S.A.","RESOLUCIÓN N° 1453","28‐04‐2014","Tratamiento de la Disfunción Eréctil"
"396","SILDENAFIL","ALFIN COMPRIMIDOS RECUBIERTOS 50 mg","F‐9430","INSTITUTO SANITAS S.A.","RESOLUCIÓN N° 1454","28‐04‐2014","Tratamiento de la Disfunción Eréctil"
"397","MEMANTINA","MENTIUM COMPRIMIDOS RECUBIERTOS 20 mg","F‐20157","SYNTHON  CHILE LTDA.","RESOLUCIÓN  RW N° 8625","05‐05‐2014","Tratamiento de Alzheimer"
"398","DONEPECILO","DONEPECILO CLORHIDRATO COMPRIMIDOS RECUBIERTOS
5 mg","F‐21078","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN  RW N° 8684","06‐05‐2014","Tratamiento de Alzheimer"
"399","CLARITROMICINA","CLARIMAX COMPRIMIDOS RECUBIERTOS 500 mg","F‐14037","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 1544","06‐05‐2014","Antibiótico"
"400","CLARITROMICINA","CLARITROMICINA COMPRIMIDOS RECUBIERTOS 500 mg","F‐13825","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 1545","06‐05‐2014","Antibiótico"
"401","KETOPROFENO","KETOPROFENO CÁPSULAS 50 mg","F‐16049","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 1550","06‐05‐2014","Analgésico / Antiinflamatorio"
"402","KETOPROFENO","FLOGOFIN CÁPSULAS 50 mg","F‐8406","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 1551","06‐05‐2014","Analgésico / Antiinflamatorio"
"403","VENLAFAXINA","ECTIEN XR CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 150 mg","F‐20044","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 1552","06‐05‐2014","Antidepresivo"
"404","TELMISARTÁN","TELMEREN COMPRIMIDOS RECUBIERTOS 80 mg","F‐21082","NOVARTIS CHILE S.A.","RESOLUCIÓN  RW N° 8818","07‐05‐2014","Hipertensión arterial"
"405","CEFADROXILO","ADROXEF CÁPSULAS 500 mg","F‐21104","LABORATORIO CHILE S.A.","RESOLUCIÓN  RW N° 9422","13‐05‐2014","Antibiótico"
"406","PAROXETINA","PARLUXETIL COMPRIMIDOS RECUBIERTOS 40 mg","F‐21098","NOVARTIS CHILE S.A.","RESOLUCIÓN  RW N° 9431","13‐05‐2014","Antidepresivo"
"407","PAROXETINA","PARLUXETIL COMPRIMIDOS RECUBIERTOS 20 mg","F‐21097","NOVARTIS CHILE S.A.","RESOLUCIÓN  RW N° 9432","13‐05‐2014","Antidepresivo"
"408","OLANZAPINA","PSITAB  COMPRIMIDOS 10 mg","F‐18499","SYNTHON  CHILE LTDA.","RESOLUCIÓN RW N°9465","13‐05‐2014","Tratamiento de esquizofrenia"
"409","ESCITALOPRAM","CELTIUM COMPRIMIDOS RECUBIERTOS 20 mg.","F‐15513","LABORATORIOS SAVAL S.A.","RESOLUCIÓN N° 1641","14‐05‐2014","Antidepresivo"
"410","ESCITALOPRAM","CELTIUM COMPRIMIDOS RECUBIERTOS 10 mg","F‐14527","LABORATORIOS SAVAL S.A.","RESOLUCIÓN N° 1642","14‐05‐2014","Antidepresivo"
"411","ENALAPRIL","ENALAPRIL MALEATO COMPRIMIDOS 10 mg","F‐9885","MINTLAB  CO. S.A.","RESOLUCIÓN N° 1645","14‐05‐2014","Hipertensión arterial ‐ insuficiencia cardíaca"
"412","ENALAPRIL","DIOTENSIL COMPRIMIDOS 20 mg","F‐13777","MINTLAB  CO. S.A.","RESOLUCIÓN N° 1646","14‐05‐2014","Hipertensión arterial ‐ insuficiencia cardíaca"
"413","ENALAPRIL","ENALAPRIL MALEATO COMPRIMIDOS 20 mg","F‐9886","MINTLAB  CO. S.A.","RESOLUCIÓN N° 1647","14‐05‐2014","Hipertensión arterial ‐ insuficiencia cardíaca"
"414","ENALAPRIL","DIOTENSIL COMPRIMIDOS 10 mg","F‐13776","MINTLAB  CO. S.A.","RESOLUCIÓN N° 1648","14‐05‐2014","Hipertensión arterial ‐ insuficiencia cardíaca"
"415","DOMPERIDONA","GASDOL COMPRIMIDOS 10 mg","F‐13961","LABORATORIO BAGÓ DE CHILE S.A.","RESOLUCIÓN  RW N° 10143","22‐05‐2014","Antiemético"
"416","SERTRALINA","DIELOFT COMPRIMIDOS RECUBIERTOS 100 mg","F‐21115","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN  RW N° 10214","22‐05‐2014","Antidepresivo"
"417","TERBINAFINA","TERBINAFINA COMPRIMIDOS 250 mg","F‐14052","MINTLAB  CO. S.A.","RESOLUCIÓN N° 1712","22‐05‐2014","Antimicotico"
"418","TERBINAFINA","DONTER COMPRIMIDOS 250 mg","F‐14094","MINTLAB  CO. S.A.","RESOLUCIÓN N° 1713","22‐05‐2014","Antimicotico"
"419","ATORVASTATINA","VOLUNTA COMPRIMIDOS RECUBIERTOS 10 mg
(ATORVASTATINA)","F‐21118","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN  RW N° 10236","23‐05‐2014","Disminución del colesterol"
"420","ATORVASTATINA","VOLUNTA COMPRIMIDOS RECUBIERTOS 20 mg
(ATORVASTATINA)","F‐21119","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN  RW N° 10249","23‐05‐2014","Disminución del colesterol"
"421","ATORVASTATINA","VOLUNTA COMPRIMIDOS RECUBIERTOS 40 mg
(ATORVASTATINA)","F‐21120","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN  RW N° 10253","23‐05‐2014","Disminución del colesterol"
"422","ATORVASTATINA","VOLUNTA COMPRIMIDOS RECUBIERTOS 80 mg
(ATORVASTATINA)","F‐21121","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN  RW N° 10271","23‐05‐2014","Disminución del colesterol"
"423","NITROFURANTOÍNA","MACROSAN CÁPSULAS 100 mg","F‐3632","INSTITUTO SANITAS S.A.","RESOLUCIÓN  N° 1802","26‐05‐2014","Antibiótico"
"424","ETINILESTRADIOL / DESOGESTREL","SOLUNA‐E 20 COMPRIMIDOS","F‐20210","MINTLAB  CO. S.A.","RESOLUCIÓN  N° 1803","26‐05‐2014","Anticonceptivo"
"425","ETINILESTRADIOL / DESOGESTREL","SOLUNA E COMPRIMIDOS","F‐20211","MINTLAB  CO. S.A.","RESOLUCIÓN  N° 1804","26‐05‐2014","Anticonceptivo"
"426","METFORMINA CLORHIDRATO","METFORMINA CLORHIDRATO COMPRIMIDOS 850 mg","F‐14634","LABORATORIO CHILE S.A.","RESOLUCIÓN  RW N° 10513","26‐05‐2014","Tratamiento de Diabetes Mellitus"
"427","ESCITALOPRAM","ESC COMPRIMIDOS RECUBIERTOS 20 mg","F‐21116","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN  RW N° 10560","27‐05‐2014","Antidepresivo"
"428","PARACETAMOL","PARACETAMOL COMPRIMIDOS 500 mg","F‐17618","LABORATORIO MAVER S.A.","RESOLUCIÓN N° 1863","02‐06‐2014","Analgésico / Antipirético"
"429","PARACETAMOL","TAPSIN PURO SIN CAFEÍNA COMPRIMIDOS 500 mg","F‐16129","LABORATORIO MAVER S.A.","RESOLUCIÓN N° 1864","02‐06‐2014","Analgésico / Antipirético"
"430","NITROFURANTOÍNA","MACROSAN CÁPSULAS 50 mg","F‐3633","INSTITUTO SANITAS S.A.","RESOLUCIÓN N° 1865","02‐06‐2014","Antibiótico"
"431","LAMOTRIGINA","LETICO COMPRIMIDOS 50 mg","F‐21137","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN  RW N° 11285","04‐06‐2014","Antiepiléptico ‐ Estabilizador del estado de ánimo"
"432","FLUOXETINA","FLUOXETINA COMPRIMIDOS 20 mg","F‐14351","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 1892","04‐06‐2014","Antidepresivo"
"433","FUROSEMIDA","FUROSEMIDA COMPRIMIDOS 40 mg","F‐11274","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 1893","04‐06‐2014","Diurético"
"434","PARACETAMOL","FOCUS 500 COMPRIMIDOS 500 mg","F‐18281","BAYER S.A.","RESOLUCIÓN  RW N° 11479","06‐06‐2014","Analgésico / Antipirético"
"435","MEMANTINA","MENTIUM COMPRIMIDOS RECUBIERTOS 10 mg","F‐21148","SYNTHON  CHILE LTDA.","RESOLUCIÓN  RW N° 11750","09‐06‐2014","Tratamiento de Alzheimer"
"436","MEMANTINA","MENTIUM COMPRIMIDOS RECUBIERTOS 20 mg","F‐21149","SYNTHON  CHILE LTDA.","RESOLUCIÓN  RW N° 11756","09‐06‐2014","Tratamiento de Alzheimer"
"437","METFORMINA CLORHIDRATO","METFORMINA CLORHIDRATO COMPRIMIDOS RECUBIERTOS
500 mg","F‐21139","INSTITUTO SANITAS S.A.","RESOLUCIÓN  RW N° 11776","09‐06‐2014","Tratamiento de Diabetes Mellitus"
"438","VENLAFAXINA","ECTIEN XR CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 37,5 mg","F‐20042","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 1949","10‐06‐2014","Antidepresivo"
"439","VENLAFAXINA","ECTIEN XR CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 75 mg","F‐20043","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 1950","10‐06‐2014","Antidepresivo"
"440","ISOTRETINOÍNA","ISDIBEN 20 CÁPSULAS BLANDAS 20 mg","F‐15492","ISDIN CHILE LTDA.","RESOLUCIÓN  RW N° 11983","11‐06‐2014","Tratamiento de Acné"
"441","ETINILESTRADIOL / LEVONORGESTREL","LEVONORGESTREL/ETINILESTRADIOL 150/30
COMPRIMIDOS RECUBIERTOS","F‐20506","MINTLAB  CO. S.A.","RESOLUCIÓN N° 2027","16‐06‐2014","Anticonceptivo"
"442","PARACETAMOL","PANAGESIC COMPRIMIDOS 500 mg","F‐3399","CHEMOPHARMA  S.A.","RESOLUCIÓN N° 2039","16‐06‐2014","Analgésico / Antipirético"
"443","TELMISARTÁN","TELMEREN COMPRIMIDOS  40 mg","F‐21178","NOVARTIS CHILE S.A.","RESOLUCIÓN RW N° 12552","18‐06‐2014","Hipertensión arterial"
"444","CICLOBENZAPRINA","TENSIOMAX COMPRIMIDOS RECUBIERTOS 5 mg","F‐13568","LABORATORIO BAGÓ DE CHILE S.A.","RESOLUCIÓN RW N° 12565","18‐06‐2014","Relajante muscular"
"445","PREDNISONA","PREDNISONA COMPRIMIDOS 5 mg","F‐15925","LABORATORIO PASTEUR S.A.","RESOLUCIÓN N° 2074","19‐06‐2014","Corticoterapia"
"446","ROSUVASTATINA","MEXIS COMPRIMIDOS RECUBIERTOS 20 mg","F‐20166","MINTLAB Co. S.A.","RESOLUCIÓN N° 2075","19‐06‐2014","Disminución del colesterol"
"447","DESLORATADINA","NEOCLARITINE COMPRIMIDOS RECUBIERTOS 5 mg","F‐7110","MERCK SHARP & DOHME CHILE LTDA.","RESOLUCIÓN N° 2076","19‐06‐2014","Antialérgico"
"448","PARACETAMOL","SUPRACALM COMPRIMIDOS 1 g","F‐7782","TECNOFARMA S.A.","RESOLUCIÓN N° 2082","20‐06‐2014","Analgésico / Antipirético"
"449","SILDENAFIL","SIAFIL COMPRIMIDOS RECUBIERTOS 100 mg","F‐13445","SYNTHON  CHILE LTDA.","RESOLUCIÓN RW N° 12767","20‐06‐2014","Tratamiento de la Disfunción Eréctil"
"450","ROSUVASTATINA","MEXIS COMPRIMIDOS RECUBIERTOS 10 mg","F‐20165","MINTLAB Co. S.A.","RESOLUCIÓN N° 2091","23‐06‐2014","Disminución del colesterol"
"451","RASAGILINA","RANGAR COMPRIMIDOS 1 mg","F‐20219","ASCEND LABORATORIES SpA","RESOLUCIÓN N° 2122","24‐06‐2014","Tratamiento de Parkinson"
"452","CELECOXIB","CELEDOX CÁPSULAS  200 mg","F‐21203","SYNTHON  CHILE LTDA.","RESOLUCIÓN RW N°12947","24‐06‐2014","Analgésico / Antiinflamatorio"
"453","LEVETIRACETAM","LEVEPSY COMPRIMIDOS RECUBIERTOS 1000 mg","F‐21205","INDOPHARMA S.A.","RESOLUCIÓN RW N° 13053","25‐06‐2014","Antiepiléptico ‐ Estabilizador del estado de ánimo"
"454","LEVETIRACETAM","LEVEPSY COMPRIMIDOS RECUBIERTOS 500 mg","F‐21204","INDOPHARMA S.A.","RESOLUCIÓN RW N°13047","25‐06‐2014","Antiepiléptico ‐ Estabilizador del estado de ánimo"
"455","QUETIAPINA","QUETIAPINA COMPRIMIDOS RECUBIERTOS 200 mg","F‐19961","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 13543","01‐07‐2014","Trastornos mentales"
"456","QUETIAPINA","QUETIAPINA COMPRIMIDOS RECUBIERTOS 300 mg","F‐19962","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 13575","01‐07‐2014","Trastornos mentales"
"457","ESCITALOPRAM","LUNDYA COMPRIMIDOS RECUBIERTOS 10 mg","F‐21219","SYNTHON  CHILE LTDA.","RESOLUCIÓN RW N° 13662","02‐07‐2014","Antidepresivo"
"458","CLOZAPINA","LODUX COMPRIMIDOS 25 mg","F‐17987","SYNTHON  CHILE LTDA.","RESOLUCIÓN RW N° 13665","02‐07‐2014","Trastornos mentales"
"459","ESCITALOPRAM","LUNDYA COMPRIMIDOS RECUBIERTOS 20 mg","F‐21220","SYNTHON  CHILE LTDA.","RESOLUCIÓN RW N° 13672","02‐07‐2014","Antidepresivo"
"460","QUETIAPINA","QUETIAPINA COMPRIMIDOS RECUBIERTOS 100 mg","F‐19960","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 13739","03‐07‐2014","Trastornos mentales"
"461","ATORVASTATINA","ATORVASTATINA COMPRIMIDOS RECUBIERTOS 20 mg","F‐21226","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N°13765","03‐07‐2014","Disminución del colesterol"
"462","ATORVASTATINA","ATORVASTATINA COMPRIMIDOS RECUBIERTOS 40 mg","F‐21227","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N°13771","03‐07‐2014","Disminución del colesterol"
"463","LAMIVUDINA","LAMIVUDINA SOLUCIÓN ORAL 50 mg/5 mL","F‐21224","INDOPHARMA S.A.","RESOLUCIÓN RW N°13773","03‐07‐2014","tratamiento de VIH/SIDA"
"464","LEVETIRACETAM","PREBB COMPRIMIDOS RECUBIERTOS 500 mg","F‐21229","SYNTHON  CHILE LTDA.","RESOLUCIÓN RW N° 13852","04‐07‐2014","Antiepiléptico ‐ Estabilizador del estado de ánimo"
"465","LEVETIRACETAM","PREBB COMPRIMIDOS RECUBIERTOS 1000 mg","F‐21228","SYNTHON  CHILE LTDA.","RESOLUCIÓN RW N°13833","04‐07‐2014","Antiepiléptico ‐ Estabilizador del estado de ánimo"
"466","VALSARTÁN","VALVITAE COMPRIMIDOS RECUBIERTOS 80 mg","F‐21231","GALENICUM HEALTH CHILE S.p.A.","RESOLUCIÓN RW N°14030","07‐07‐2014","Hipertensión arterial"
"467","ZOPICLONA","ZOMETIC COMPRIMIDOS RECUBIERTOS 7,5 mg","F‐8783","CHEMOPHARMA  S.A.","RESOLUCIÓN 2326/14","08‐07‐2014","Inductor del sueño"
"468","DIGOXINA","DIGOXINA COMPRIMIDOS 0,25 mg","F‐8247","SYNTHON CHILE LTDA.","RESOLUCIÓN 2327/14","08‐07‐2014","Antiarrítmico"
"469","AMOXICILINA+CLAVULÁNICO","CLAVAM DUO  875/125 COMPRIMIDOS RECUBIERTOS","F‐19292","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN 2328/14","08‐07‐2014","Antibiótico"
"470","CICLOSPORINA","EQUORAL SOLUCIÓN ORAL 100 mg/mL","F‐14875","LABORATORIO CHILE S.A.","RESOLUCIÓN 2329/14","08‐07‐2014","Trasplante de órganos"
"471","AMOXICILINA+CLAVULÁNICO","AMOXICILINA/ACIDO CLAVULANICO 875/125
COMPRIMIDOS RECUBIERTOS","F‐21230","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N°14052","08‐07‐2014","Antibiótico"
"472","VALSARTÁN","VALVITAE COMPRIMIDOS RECUBIERTOS 160 mg","F‐21232","GALENICUM HEALTH CHILE S.p.A.","RESOLUCIÓN RW N°14089","08‐07‐2014","Hipertensión arterial"
"473","IMATINIB","ZEITE COMPRIMIDOS RECUBIERTOS 400 mg","F‐15844","LABORATORIOS RECALCINE S.A.","RESOLUCIÓN 2342/14","09‐07‐2014","Tratamiento de Leucemia"
"474","LAMIVUDINA","LAMIVUDINA COMPRIMIDOS RECUBIERTOS 150 mg","F‐21238","INDOPHARMA S.A.","RESOLUCIÓN RW N° 14135","09‐07‐2014","tratamiento de VIH/SIDA"
"475","ESCITALOPRAM","ESC COMPRIMIDOS RECUBIERTOS 10 mg","F‐21233","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N°14161","09‐07‐2014","Antidepresivo"
"476","NEVIRAPINA","NEVIRAPINA COMPRIMIDOS 200 mg","F‐21261","INDOPHARMA S.A.","RESOLUCIÓN RW N° 14902","21‐07‐2014","tratamiento de VIH/SIDA"
"477","LOSARTÁN","LOSARTÁN POTÁSICO COMPRIMIDOS RECUBIERTOS 50 mg","F‐15499","SYNTHON  CHILE LTDA.","RESOLUCIÓN RW N° 14911","21‐07‐2014","Hipertensión arterial"
"478","VALSARTÁN","TAMCORE COMPRIMIDOS RECUBIERTOS 80 mg
(VALSARTÁN)","F‐21251","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN RW N° 15131","23‐07‐2014","Hipertensión arterial"
"479","VALSARTÁN","TAMCORE COMPRIMIDOS RECUBIERTOS 160 mg
(VALSARTÁN)","F‐21267","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN RW N° 15137","23‐07‐2014","Hipertensión arterial"
"480","VALSARTÁN","TAMCORE COMPRIMIDOS RECUBIERTOS 320 mg
(VALSARTÁN)","F‐21266","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN RW N° 15140","23‐07‐2014","Hipertensión arterial"
"481","NAPROXENO","NAPROXENO SÓDICO COMPRIMIDOS RECUBIERTOS 550 mg","F‐13868","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 2514","24‐07‐2014","Analgésico / Antiinflamatorio"
"482","NAPROXENO","TRIOX N.F. FORTE COMPRIMIDOS RECUBIERTOS 550 mg","F‐10175","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 2515","24‐07‐2014","Analgésico / Antiinflamatorio"
"483","MELOXICAM","MELODOL COMPRIMIDOS 15 mg","F‐21269","LABORATORIOS RAFFO S.A.","RESOLUCIÓN RW N° 15356","25‐07‐2014","Analgésico / Antiinflamatorio"
"484","CIPROFLOXACINO","CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg","F‐21270","INTERPHARMA S.A.","RESOLUCIÓN RW N° 15374","25‐07‐2014","Antibiótico"
"485","FLUCONAZOL","PLUSGIN CÁPSULAS 150 mg","F‐21281","LABORATORIOS RAFFO S.A.","RESOLUCIÓN RW N° 15497","28‐07‐2014","Antifúngico"
"486","SILDENAFIL","SILDENAFILO COMPRIMIDOS RECUBIERTOS 100 mg","F‐21296","GALENICUM HEALTH CHILE S.p.A.","RESOLUCIÓN RW N° 16146","04‐08‐2014","Tratamiento de la Disfunción Eréctil"
"487","ANASTROZOL","ANASVITAE COMPRIMIDOS RECUBIERTOS 1 mg","F‐21295","GALENICUM HEALTH CHILE S.p.A.","RESOLUCIÓN RW N° 16165","04‐08‐2014","Cáncer de mama"
"488","ANASTROZOL","ANASTROZOL COMPRIMIDOS RECUBIERTOS 1 mg","F‐21302","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N° 16256","05‐08‐2014","Cáncer de mama"
"489","TRIMEBUTINA","TREBUTEL COMPRIMIDOS 100 mg","F‐11557","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 2707","07‐08‐2014","Antiespasmódico"
"490","TRIMEBUTINA","TRIMEBUTINA MALEATO COMPRIMIDOS 100 mg","F‐6578","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 2708","07‐08‐2014","Antiespasmódico"
"491","ESCITALOPRAM","REPOSIL COMPRIMIDOS RECUBIERTOS 10 mg","F‐15314","MEDIPHARM LTDA.","RESOLUCIÓN N° 2709","07‐08‐2014","Antidepresivo"
"492","CIPROFLOXACINO","CIRIAX 500 COMPRIMIDOS RECUBIERTOS 500 mg","F‐17398","PHARMA INVESTI DE CHILE S.A.","RESOLUCIÓN N° 2737","11‐08‐2014","Antibiótico"
"493","CLOMIPRAMINA","AUSENTRON COMPRIMIDOS RECUBIERTOS 25 mg","F‐8331","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 2738","11‐08‐2014","Antidepresivo"
"494","CETIRIZINA","CETIRIZINA DICLORHIDRATO COMPRIMIDOS RECUBIERTOS
10 mg","F‐7212","SYNTHON CHILE LTDA.","RESOLUCIÓN RW N° 16844","12‐08‐2014","Antialérgico"
"495","SILDENAFIL","SILDENAFILO COMPRIMIDOS RECUBIERTOS 50 mg","F‐21311","GALENICUM HEALTH CHILE S.p.A.","RESOLUCIÓN RW N° 16878","12‐08‐2014","Tratamiento de la Disfunción Eréctil"
"496","CILOSTAZOL","CILOSVITAE COMPRIMIDOS 100 mg","F‐21312","GALENICUM HEALTH CHILE S.p.A.","RESOLUCIÓN RW N° 16917","12‐08‐2014","Antiagregante plaquetario / Vasodilatador"
"497","CETIRIZINA","SIXACINA COMPRIMIDOS RECUBIERTOS 10 mg","F‐15667","SYNTHON  CHILE LTDA.","RESOLUCIÓN RW N° 17192","18‐08‐2014","Antialérgico"
"498","SILDENAFIL","ZILFIC COMPRIMIDOS RECUBIERTOS 100 mg","F‐13810","MINTLAB  CO. S.A.","RESOLUCIÓN N° 2842","19‐08‐2014","Tratamiento de la Disfunción Eréctil"
"499","SILDENAFIL","SILDENAFIL COMPRIMIDOS RECUBIERTOS 100 mg","F‐13809","MINTLAB  CO. S.A.","RESOLUCIÓN N° 2843","19‐08‐2014","Tratamiento de la Disfunción Eréctil"
"500","AMOXICILINA+CLAVULÁNICO","CLAVOXILINA BID 875/125 COMPRIMIDOS RECUBIERTOS","F‐10054","LABORATORIOS LAFI LTDA.","RESOLUCIÓN N° 2844","19‐08‐2014","Antibiótico"
"501","DESOGESTREL","SOLUNA COMPRIMIDOS 75 mcg","F‐20132","MINTLAB  CO. S.A.","RESOLUCIÓN N° 2901","22‐08‐2014","Anticonceptivo"
"502","ZOLPIDEM","SOMNIPRON COMPRIMIDOS RECUBIERTOS 10 mg","F‐9052","INSTITUTO SANITAS S.A.","RESOLUCIÓN N° 2902","22‐08‐2014","Inductor del sueño / Sedante"
"503","FAMOTIDINA","FAMOTIDINA COMPRIMIDOS RECUBIERTOS 40 mg","F‐18679","OPKO CHILE S.A.","RESOLUCIÓN N° 2976","27‐08‐2014","Tratamiento de Ulceras Gastricas y
Reflujo Gastroesofágico"
"504","ETINILESTRADIOL / GESTODENO","PRENAL COMPRIMIDOS RECUBIERTOS","F‐20228","MINTLAB  CO. S.A.","RESOLUCIÓN N° 2977","27‐08‐2014","Anticonceptivo"
"505","ESCITALOPRAM","ESCITALOPRAM COMPRIMIDOS RECUBIERTOS 10 mg","F‐18595","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 3063","03‐09‐2014","Antidepresivo"
"506","ESCITALOPRAM","ECTIBAN COMPRIMIDOS RECUBIERTOS 10 mg","F‐15040","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 3064","03‐09‐2014","Antidepresivo"
"507","GALANTAMINA","GALANVITAE CÁPSULAS CON COMPRIMIDOS DE LIBERACIÓN PROLONGADA 8 mg (GALANTAMINA)","F‐21365","GALENICUM HEALTH CHILE S.p.A.","RESOLUCIÓN RW N° 18411","03‐09‐2014","Tratamiento de Alzheimer"
"508","GALANTAMINA","GALANVITAE  CÁPSULAS CON COMPRIMIDOS DE LIBERACIÓN PROLONGADA 16 mg","F‐21366","GALENICUM HEALTH CHILE S.p.A.","RESOLUCIÓN RW N° 18422","03‐09‐2014","Tratamiento de Alzheimer"
"509","DESLORATADINA","D‐HISTAPLUS","F‐15444","LABORATORIO PASTEUR S.A.","RESOLUCIÓN RW N° 18471","04‐09‐2014","Antialérgico"
"510","TRIMEBUTINA","TRIMEBUTINO MALEATO COMPRIMIDOS 100 mg.","F‐12361","MINTLAB  CO. S.A.","RESOLUCIÓN N° 4051","08‐09‐2014","Antiespasmódico"
"511","EXEMESTANO","EXEVITAE COMPRIMIDOS RECUBIERTOS 25 mg","F‐21392","GALENICUM HEALTH CHILE S.p.A.","RESOLUCIÓN RW N° 18928","10‐09‐2014","Cáncer de mama"
"512","METFORMINA CLORHIDRATO","OXEMET COMPRIMIDOS RECUBIERTOS 1000 mg","F‐15991","GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.","RESOLUCIÓN N° 4098","12‐09‐2014","Tratamiento de Diabetes Mellitus"
"513","PARACETAMOL","GENIOL COMPRIMIDOS 500 mg","F‐6908","MINTLAB  CO. S.A.","RESOLUCIÓN N° 4099","12‐09‐2014","Analgésico / Antipirético"
"514","IBUPROFENO","PYRIPED CÁPSULAS BLANDAS 400 mg","F‐18548","MINTLAB  CO. S.A.","RESOLUCIÓN N° 5000","12‐09‐2014","Analgésico / Antiinflamatorio"
"515","PARACETAMOL","PARACETAMOL COMPRIMIDOS 500 mg","F‐154","MINTLAB Co. S.A.","RESOLUCIÓN N° 5001","12‐09‐2014","Analgésico / Antipirético"
"516","TAMSULOSINA","SULIX CÁPSULAS CON GRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA, 0,4 mg","F‐17105","SYNTHON  CHILE LTDA.","RESOLUCIÓN RW N° 19130","15‐09‐2014","Cáncer de próstata"
