"Listado de productos Bioequivalentes, actualizado al 31 de Diciembre de 2015",,,,,,,
N°,Uso / Tratamiento,Principio Activo,Producto de referencia,Titular,Producto,Registro,Titular
447,Antivertiginoso,BETAHISTINA,Vasomotal,Abbott Laboratories,BETINA COMPRIMIDOS 8 mg,F-21449,LABORATORIOS EUROMED CHILE S.A.
448,Antiviral (Herpes),ACICLOVIR,Zovirax,Pfizer,VIRONIDA COMPRIMIDOS 800 mg,F-7869,LABORATORIO CHILE S.A.
449,Antiviral (Herpes),ACICLOVIR,Zovirax,Pfizer,LISOVYR COMPRIMIDOS 200 mg,F-1702,MINTLAB Co. S.A.
450,Antiviral (Herpes),ACICLOVIR,Zovirax,Pfizer,ACICLOVIR COMPRIMIDOS 200 mg,F-9863,MINTLAB Co. S.A.
451,Antiviral (VIH/SIDA),ABACAVIR,Ziagen,Glaxosmithkline,MESABEX COMPRIMIDOS RECUBIERTOS 300 mg,F-17883,LABORATORIOS LAFI LTDA.
452,Antiviral (VIH/SIDA),ABACAVIR,Ziagen,Glaxosmithkline,ABACAVIR COMPRIMIDOS RECUBIERTOS 300 mg,F-21021,MASTER CARE S.A.
453,Antiviral (VIH/SIDA),EFAVIRENZ,Stocrin,Merck Sharp & Dohme,EFAVIRENZ COMPRIMIDOS RECUBIERTOS 600 mg,F-20984,LABORATORIO CHILE S.A.
454,Antiviral (VIH/SIDA),EFAVIRENZ,Stocrin,Merck Sharp & Dohme,EFAVIRENZ COMPRIMIDOS RECUBIERTOS 600 mg,F-19736,MASTER CARE S.A.
455,Antiviral (VIH/SIDA),EFAVIRENZ,Stocrin,Merck Sharp & Dohme,RIBOTEX COMPRIMIDOS RECUBIERTOS 600 mg,F-19737,MASTER CARE S.A.
456,Antiviral (VIH/SIDA),EFAVIRENZ,Stocrin,Merck Sharp & Dohme,VOVIRENS COMPRIMIDOS RECUBIERTOS 600 mg,F-18539,OPKO CHILE S.A.
457,Antiviral (VIH/SIDA),EFAVIRENZ,Stocrin,Merck Sharp & Dohme,EFAVIRENZ COMPRIMIDOS RECUBIERTOS 600 mg,F-22237,SEVEN PHARMA CHILE S.p.A.
458,Antiviral (VIH/SIDA),LAMIVUDINA,Epivir 3TC,Glaxosmithkline,LAMIVUDINA COMPRIMIDOS RECUBIERTOS 150 mg,F-20667,ASCEND LABORATORIES SpA
459,Antiviral (VIH/SIDA),LAMIVUDINA,Epivir 3TC,Glaxosmithkline,LAMIVUDINA SOLUCIÓN ORAL 50 mg/5 mL,F-21224,INDOPHARMA S.A.
460,Antiviral (VIH/SIDA),LAMIVUDINA,Epivir 3TC,Glaxosmithkline,LAMIVUDINA COMPRIMIDOS RECUBIERTOS 150 mg,F-21238,INDOPHARMA S.A.
461,Antiviral (VIH/SIDA),LAMIVUDINA,Epivir 3TC,Glaxosmithkline,MIXOVIR COMPRIMIDOS RECUBIERTOS 150 mg,F-11807,LABORATORIOS ANDRÓMACO S.A.
462,Antiviral (VIH/SIDA),LAMIVUDINA,Epivir 3TC,Glaxosmithkline,LAMIVUDINA COMPRIMIDOS RECUBIERTOS 150 mg,F-18962,LABORATORIOS ANDRÓMACO S.A.
463,Antiviral (VIH/SIDA),LAMIVUDINA,Epivir 3TC,Glaxosmithkline,XIMAVIR COMPRIMIDOS RECUBIERTOS 150 mg,F-18963,MASTER CARE S.A.
464,Antiviral (VIH/SIDA),LAMIVUDINA,Epivir 3TC,Glaxosmithkline,LAMIVUDINA COMPRIMIDOS RECUBIERTOS 150 mg,F-19082,MASTER CARE S.A.
465,Antiviral (VIH/SIDA),LAMIVUDINA,Epivir 3TC,Glaxosmithkline,LAMIVUDINA COMPRIMIDOS RECUBIERTOS 150 mg,F-18240,OPKO CHILE S.A.
466,Antiviral (VIH/SIDA),LAMIVUDINA + ZIDOVUDINA,Combivir,Glaxosmithkline,LAMIVUDINA/ZIDOVUDINA 150/300 COMPRIMIDOS RECUBIERTOS,F-21012,INDOPHARMA S.A.
467,Antiviral (VIH/SIDA),LAMIVUDINA + ZIDOVUDINA,Combivir,Glaxosmithkline,BIVIR COMPRIMIDOS RECUBIERTOS,F-12502,LABORATORIOS ANDRÓMACO S.A.
468,Antiviral (VIH/SIDA),LAMIVUDINA + ZIDOVUDINA,Combivir,Glaxosmithkline,LAMIVUDINA + ZIDOVUDINA 150/300 COMPRIMIDOS RECUBIERTOS,F-18940,LABORATORIOS ANDRÓMACO S.A.
469,Antiviral (VIH/SIDA),LAMIVUDINA + ZIDOVUDINA,Combivir,Glaxosmithkline,BIVIR COMPRIMIDOS RECUBIERTOS,F-19081,LABORATORIOS ANDRÓMACO S.A.
470,Antiviral (VIH/SIDA),LAMIVUDINA + ZIDOVUDINA,Combivir,Glaxosmithkline,MAXIVIR COMPRIMIDOS RECUBIERTOS,F-18966,MASTER CARE S.A.
471,Antiviral (VIH/SIDA),LAMIVUDINA + ZIDOVUDINA,Combivir,Glaxosmithkline,LAMIVUDINA + ZIDOVUDINA COMPRIMIDOS RECUBIERTOS,F-18059,OPKO CHILE S.A.
472,Antiviral (VIH/SIDA),LAMIVUDINA + ZIDOVUDINA,Combivir,Glaxosmithkline,LAMIVUDINA/ZIDOVUDINA 150/300 COMPRIMIDOS RECUBIERTOS,F-22188,SEVEN PHARMA CHILE S.p.A.
473,Antiviral (VIH/SIDA),NEVIRAPINA,Viramune,Boehringer Ingelheim,NEVIRAPINA COMPRIMIDOS 200 mg,F-21261,INDOPHARMA S.A.
474,Antiviral (VIH/SIDA),NEVIRAPINA,Viramune,Boehringer Ingelheim,NEVIRAPINA COMPRIMIDOS 200 mg,F-16088,LABORATORIOS ANDRÓMACO S.A.
475,Antiviral (VIH/SIDA),NEVIRAPINA,Viramune,Boehringer Ingelheim,NEVAVIR COMPRIMIDOS 200 mg,F-19085,MASTER CARE S.A.
476,Antiviral (VIH/SIDA),NEVIRAPINA,Viramune,Boehringer Ingelheim,NEVIRAPINA COMPRIMIDOS 200 mg,F-19080,MASTER CARE S.A.
477,Antiviral (VIH/SIDA),NEVIRAPINA,Viramune,Boehringer Ingelheim,NEVIRAPINA COMPRIMIDOS 200 mg,F-18330,OPKO CHILE S.A.
478,Antiviral (VIH/SIDA),RITONAVIR+LOPINAVIR,Kaletra,Abbvie,LOPINAVIR / RITONAVIR 200/50 COMPRIMIDOS RECUBIERTOS,F-22199,SEVEN PHARMA CHILE S.p.A.
479,Antiviral (VIH/SIDA),ZIDOVUDINA,Retrovir AZT,Glaxosmithkline,MANTAVIRAL COMPRIMIDOS RECUBIERTOS 300 mg,F-10104,LABORATORIOS ANDRÓMACO S.A.
480,Antiviral (VIH/SIDA),ZIDOVUDINA,Retrovir AZT,Glaxosmithkline,ZIDOVUDINA COMPRIMIDOS RECUBIERTOS 300 mg,F-19060,LABORATORIOS ANDRÓMACO S.A.
481,Antiviral (VIH/SIDA),ZIDOVUDINA,Retrovir AZT,Glaxosmithkline,ZIDOVUDINA COMPRIMIDOS RECUBIERTOS 300 mg,F-19083,MASTER CARE S.A.
482,Antiviral (VIH/SIDA),ZIDOVUDINA,Retrovir AZT,Glaxosmithkline,AZAVIRAL COMPRIMIDOS RECUBIERTOS 300 mg,F-19084,MASTER CARE S.A.
483,Antiviral (VIH/SIDA),ZIDOVUDINA,Retrovir AZT,Glaxosmithkline,ZIDOVUDINA COMPRIMIDOS RECUBIERTOS 300 mg,F-22185,SEVEN PHARMA CHILE S.p.A.
484,Artritis,LEFLUNOMIDA,Arava,Sanofi-Aventis,ARTROTIN COMPRIMIDOS RECUBIERTOS 20 mg,F-12892,LABORATORIOS RECALCINE S.A.
485,Artritis y Lupus,HIDROXICLOROQUINA,Plaquinol,Sanofi-Aventis,REUMAZINE COMPRIMIDOS RECUBIERTOS 200 mg,F-18705,INSTITUTO SANITAS S.A.
486,Artritis y Lupus,HIDROXICLOROQUINA,Plaquinol,Sanofi-Aventis,HIDROXICLOROQUINA SULFATO COMPRIMIDOS RECUBIERTOS 200 mg,F-17335,PHARMAMERICA LTDA.
487,Calvicie Androgénica,FINASTERIDA,Proscar,Merck Sharp & Dohme,LAMBDAXEL COMPRIMIDOS RECUBIERTOS 1 mg,F-22059,ISDIN CHILE LTDA.
488,Calvicie Androgénica,FINASTERIDA,Proscar,Merck Sharp & Dohme,APEPLUS COMPRIMIDOS RECUBIERTOS 1 mg,F-1906,LABORATORIOS LAFI LTDA.
489,Cáncer / Enfermedades autoinmune,METOTREXATO,Metotrexato,Pfizer,"METOTREXATO COMPRIMIDOS 2,5 mg",F-21881,MINTLAB CO. S.A.
490,Cáncer de mama,ANASTROZOL,Arimidex,Astrazeneca,ANASTROZOL COMPRIMIDOS RECUBIERTOS 1 mg,F-19105,FRESENIUS KABI CHILE LTDA.
491,Cáncer de mama,ANASTROZOL,Arimidex,Astrazeneca,ANASVITAE COMPRIMIDOS RECUBIERTOS 1 mg,F-21295,GALENICUM HEALTH CHILE S.p.A.
492,Cáncer de mama,ANASTROZOL,Arimidex,Astrazeneca,ANASTROZOL COMPRIMIDOS RECUBIERTOS 1 mg,F-21302,LABORATORIOS EUROMED CHILE S.A.
493,Cáncer de mama,ANASTROZOL,Arimidex,Astrazeneca,ANASTROZOL COMPRIMIDOS RECUBIERTOS 1 mg,F-16801,SYNTHON  CHILE LTDA.
494,Cáncer de mama,ANASTROZOL,Arimidex,Astrazeneca,MADELEN COMPRIMIDOS RECUBIERTOS 1 mg,F-16807,SYNTHON  CHILE LTDA.
495,Cáncer de mama,EXEMESTANO,Aromasin,Pfizer,EXEVITAE COMPRIMIDOS RECUBIERTOS 25 mg,F-21392,GALENICUM HEALTH CHILE S.p.A.
496,Cáncer de mama,EXEMESTANO,Aromasin,Pfizer,EXEMESTANO COMPRIMIDOS RECUBIERTOS 25 mg,F-19030,LABORATORIO CHILE S.A.
497,Cáncer de mama,EXEMESTANO,Aromasin,Pfizer,NODUTAX COMPRIMIDOS RECUBIERTOS 25 mg,F-18640,SYNTHON  CHILE LTDA.
498,Cáncer de mama,LETROZOL,Femara,Novartis,"LETROZOL COMPRIMIDOS RECUBIERTOS 2,5 mg",F-18699,FRESENIUS KABI CHILE LTDA.
499,Cáncer de mama,LETROZOL,Femara,Novartis,"LETROVITAE COMPRIMIDOS RECUBIERTOS 2,5 mg",F-21419,GALENICUM HEALTH CHILE S.p.A.
500,Cáncer de mama,LETROZOL,Femara,Novartis,"LETROZOL COMPRIMIDOS RECUBIERTOS 2,5 mg",F-19335,LABORATORIOS  EUROMED CHILE S.A.
501,Cáncer de mama,LETROZOL,Femara,Novartis,"TIADIS COMPRIMIDOS RECUBIERTOS 2,5 mg",F-17717,SYNTHON  CHILE LTDA.
502,Cáncer de mama,TAMOXIFENO,Nolvadex-D,Astrazeneca,TAXUS COMPRIMIDOS 20 mg,F-10367,TECNOFARMA S.A.
503,Cáncer de próstata,BICALUTAMIDA,Casodex,Astrazeneca,BICALUTAMIDA COMPRIMIDOS RECUBIERTOS 50 mg,F-18561,FRESENIUS KABI CHILE LTDA.
504,Cáncer de próstata,BICALUTAMIDA,Casodex,Astrazeneca,BICALUTAMIDA COMPRIMIDOS RECUBIERTOS 50 mg,F-20979,LABORATORIOS EUROMED CHILE S.A.
505,Cáncer de próstata,BICALUTAMIDA,Casodex,Astrazeneca,BIOLEV COMPRIMIDOS RECUBIERTOS 150 mg,F-17057,SYNTHON  CHILE LTDA.
506,Cáncer de próstata,BICALUTAMIDA,Casodex,Astrazeneca,BIOLEV COMPRIMIDOS RECUBIERTOS 50 mg,F-17047,SYNTHON  CHILE LTDA.
507,Cáncer de próstata,TAMSULOSINA,Omnic,Yamanouchi,"SINGOTEX COMPRIMIDOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 0,4 mg",F-22105,LABORATORIOS RAFFO S.A.
508,Cáncer de próstata,TAMSULOSINA,Omnic,Yamanouchi,"SULIX CÁPSULAS CON GRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA, 0,4 mg",F-17105,SYNTHON  CHILE LTDA.
509,Cáncer de próstata,TAMSULOSINA,Omnic,Yamanouchi,"SULIX CÁPSULAS CON GRÁNULOS DE LIBERACIÓN PROLONGADA 0,4 mg (TAMSULOSINA CLORHIDRATO)",F-21523,SYNTHON  CHILE LTDA.
510,Cáncer de próstata,TAMSULOSINA,Omnic,Yamanouchi,"SULIX L.C. COMPRIMIDOS DE LIBERACIÓN PROLONGADA
0,4 mg",F-18867,SYNTHON  CHILE LTDA.
511,Cáncer de próstata,TAMSULOSINA,Omnic,Yamanouchi,"SULIX L.C. COMPRIMIDOS DE LIBERACIÓN PROLONGADA
0,4 mg",F-21587,SYNTHON CHILE LTDA.
512,Cáncer del tracto gastrointestinal y de mama,CAPECITABINA,Xeloda,Roche,CAPECITABINA COMPRIMIDOS RECUBIERTOS 500 mg,F-21961,LABORATORIO CHILE S.A.
513,Cáncer del tracto gastrointestinal y de mama,CAPECITABINA,Xeloda,Roche,CAPECITABINA COMPRIMIDOS RECUBIERTOS 150 mg,F-21953,LABORATORIO CHILE S.A.
514,Cáncer del tracto gastrointestinal y de mama,CAPECITABINA,Xeloda,Roche,CATEGOR COMPRIMIDOS RECUBIERTOS 150 mg,F-20373,NOVARTIS CHILE S.A.
515,Cáncer del tracto gastrointestinal y de mama,CAPECITABINA,Xeloda,Roche,CATEGOR COMPRIMIDOS RECUBIERTOS 500 mg,F-20374,NOVARTIS CHILE S.A.
516,Corticoterapia,DEFLAZACORT,Azacortid,Sanofi-Aventis,DISFLAX COMPRIMIDOS 30 mg,F-19172,"FAES FARMA CHILE, SALUD Y NUTRICIÓN LTDA."
517,Corticoterapia,DEFLAZACORT,Azacortid,Sanofi-Aventis,DISFLAX COMPRIMIDOS 6 mg,F-19171,"FAES FARMA CHILE, SALUD Y NUTRICIÓN LTDA."
518,Corticoterapia,DEFLAZACORT,Azacortid,Sanofi-Aventis,DEZARTAL COMPRIMIDOS 6 mg (DEFLAZACORT),F-21695,LABORATORIOS ANDRÓMACO S.A.
519,Corticoterapia,DEFLAZACORT,Azacortid,Sanofi-Aventis,DEZARTAL COMPRIMIDOS 30 mg,F-21684,LABORATORIOS ANDRÓMACO S.A.
520,Corticoterapia,DEFLAZACORT,Azacortid,Sanofi-Aventis,ARRUMAL COMPRIMIDOS 30 mg,F-18150,PHARMA INVESTI DE CHILE S.A.
521,Corticoterapia,PREDNISONA,Meticorten,Schering Plough,PREDNISONA COMPRIMIDOS 5 mg,F-1400,LABORATORIO CHILE S.A.
522,Corticoterapia,PREDNISONA,Meticorten,Schering Plough,CORTIPREX COMPRIMIDOS RECUBIERTOS 20 mg,F-8381,LABORATORIO CHILE S.A.
523,Corticoterapia,PREDNISONA,Meticorten,Schering Plough,PREDNISONA COMPRIMIDOS RECUBIERTOS 20 mg,F-14411,LABORATORIO CHILE S.A.
524,Corticoterapia,PREDNISONA,Meticorten,Schering Plough,CORTIPREX COMPRIMIDOS 5 mg,F-8382,LABORATORIO CHILE S.A.
525,Corticoterapia,PREDNISONA,Meticorten,Schering Plough,BERSEN COMPRIMIDOS 5 mg,F-11626,LABORATORIO PASTEUR S.A.
526,Corticoterapia,PREDNISONA,Meticorten,Schering Plough,BERSEN COMPRIMIDOS 20 mg,F-11625,LABORATORIO PASTEUR S.A.
527,Corticoterapia,PREDNISONA,Meticorten,Schering Plough,PREDNISONA COMPRIMIDOS 20 mg,F-13016,LABORATORIO PASTEUR S.A.
528,Corticoterapia,PREDNISONA,Meticorten,Schering Plough,PREDNISONA COMPRIMIDOS 5 mg,F-15925,LABORATORIO PASTEUR S.A.
529,Corticoterapia,PREDNISONA,Meticorten,Schering Plough,PREDNISONA COMPRIMIDOS 20 mg,F-15757,LABORATORIOS ANDRÓMACO S.A.
530,Corticoterapia,PREDNISONA,Meticorten,Schering Plough,PROCION COMPRIMIDOS 20 mg,F-12227,MEDIPHARM LTDA.
531,Corticoterapia,PREDNISONA,Meticorten,Schering Plough,PREDNISONA COMPRIMIDOS 5 mg,F-3376,MINTLAB Co. S.A.
532,Diabetes Mellitus,GLIBENCLAMIDA,Daonil,Sanofi-Aventis,GLIBENCLAMIDA COMPRIMIDOS 5 mg,F-3947,LABORATORIO CHILE S.A.
533,Diabetes Mellitus,GLIBENCLAMIDA,Daonil,Sanofi-Aventis,GLIBENCLAMIDA COMPRIMIDOS 5 mg,F-2414,LABORATORIOS ANDRÓMACO S.A.
534,Diabetes Mellitus,GLIBENCLAMIDA,Daonil,Sanofi-Aventis,GLIBENCLAMIDA COMPRIMIDOS 5 mg,F-9896,MINTLAB CO. S.A.
535,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,"METFORMINA CLORHIDRATO COMPRIMIDOS RECUBIERTOS
850 mg",F-20937,ARAMA NATURAL PRODUCTS DISTRIBUIDORA LTDA.
536,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,"METFORMINA CLORHIDRATO COMPRIMIDOS RECUBIERTOS
850 mg",F-20110,ASCEND LABORATORIES SpA
537,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,"METFORMINA CLORHIDRATO COMPRIMIDOS RECUBIERTOS
850 mg",F-21614,ASCEND LABORATORIES SpA
538,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,ANDIBET COMPRIMIDOS RECUBIERTOS 850 mg,F-12065,CHEMOPHARMA S.A.
539,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,ANDIBET COMPRIMIDOS RECUBIERTOS 500 mg,F-20476,CHEMOPHARMA S.A.
540,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,OXEMET COMPRIMIDOS RECUBIERTOS 500 mg,F-15992,GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.
541,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,OXEMET COMPRIMIDOS RECUBIERTOS 850 mg,F-15990,GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.
542,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,OXEMET COMPRIMIDOS RECUBIERTOS 850 mg,F-20074,GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.
543,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,OXEMET COMPRIMIDOS RECUBIERTOS 500 mg,F-20075,GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.
544,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,OXEMET COMPRIMIDOS RECUBIERTOS 1000 mg,F-19860,GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.
545,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,OXEMET COMPRIMIDOS RECUBIERTOS 1000 mg,F-15991,GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.
546,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,"METFORMINA CLORHIDRATO COMPRIMIDOS RECUBIERTOS
850 mg",F-12064,INSTITUTO SANITAS S.A.
547,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,"METFORMINA CLORHIDRATO COMPRIMIDOS RECUBIERTOS
500 mg",F-21139,INSTITUTO SANITAS S.A.
548,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,"METFORMINA CLORHIDRATO COMPRIMIDOS RECUBIERTOS
1000 mg",F-21637,INSTITUTO SANITAS S.A.
549,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,GLICENEX COMPRIMIDOS RECUBIERTOS 500 mg,F-15406,LABORATORIO BAGÓ DE CHILE S.A.
550,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,GLICENEX COMPRIMIDOS RECUBIERTOS 850 mg,F-14047,LABORATORIO BAGÓ DE CHILE S.A.
551,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,HIPOGLUCIN COMPRIMIDOS RECUBIERTOS 850 mg,F-8438,LABORATORIO CHILE S.A.
552,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,METFORMINA CLORHIDRATO COMPRIMIDOS 850 mg,F-14634,LABORATORIO CHILE S.A.
553,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,FINTAXIM COMPRIMIDOS RECUBIERTOS 850 mg,F-9741,LABORATORIO MAVER S.A.
554,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,GLAUPAX 500 COMPRIMIDOS RECUBIERTOS 500 mg,F-16926,LABORATORIO PASTEUR S.A.
555,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,GLAUPAX 850 COMPRIMIDOS RECUBIERTOS 850 mg,F-16925,LABORATORIO PASTEUR S.A.
556,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,"METFORMINA CLORHIDRATO COMPRIMIDOS RECUBIERTOS
850 mg",F-17314,LABORATORIOS  EUROMED CHILE S.A.
557,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,"METFORMINA CLORHIDRATO COMPRIMIDOS RECUBIERTOS
850 mg",F-19734,LABORATORIOS ANDRÓMACO S.A.
558,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,GLIFORTEX COMPRIMIDOS RECUBIERTOS 850 mg,F-18502,LABORATORIOS ANDRÓMACO S.A.
559,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,METFORMINA COMPRIMIDOS RECUBIERTOS 850 mg,F-15237,LABORATORIOS ANDRÓMACO S.A.
560,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,GLIFORTEX COMPRIMIDOS RECUBIERTOS 850 mg,F-7151,LABORATORIOS ANDRÓMACO S.A.
561,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,GLIDANIL COMPRIMIDOS RECUBIERTOS 850 mg,F-19751,MEDIPHARM LTDA.
562,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,GLIDANIL COMPRIMIDOS RECUBIERTOS 850 mg,F-19831,MEDIPHARM LTDA.
563,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,GLIDANIL COMPRIMIDOS RECUBIERTOS 500 mg,F-20507,MEDIPHARM LTDA.
564,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,"TAVIST XR COMPRIMIDOS DE LIBERACIÓN PROLONGADA
500 mg.",F-20346,MINTLAB CO. S.A.
565,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,METFORMINA CLORHIDRATO COMPRIMIDOS 850 mg,F-18634,MINTLAB CO. S.A.
566,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,"METFORMINA CLORHIDRATO COMPRIMIDOS RECUBIERTOS
850 mg",F-15133,OPKO CHILE S.A.
567,Diabetes Mellitus,METFORMINA CLORHIDRATO,1.- Glucophage 2.- Glafornil,1.- Roche 2.- Merck,"METFORMINA CLORHIDRATO COMPRIMIDOS RECUBIERTOS
850 mg",F-21588,OPKO CHILE S.A.
568,Disfunción Eréctil,SILDENAFIL,Viagra,Pfizer,SEGUREX 100 COMPRIMIDOS RECUBIERTOS 100 mg,F-18831,GADOR LTDA.
569,Disfunción Eréctil,SILDENAFIL,Viagra,Pfizer,SELERUP 100 COMPRIMIDOS RECUBIERTOS 100 mg,F-19106,GADOR LTDA.
570,Disfunción Eréctil,SILDENAFIL,Viagra,Pfizer,PLUSEFEC COMPRIMIDOS RECUBIERTOS 50 mg,F-9433,CHEMOPHARMA S.A.
571,Disfunción Eréctil,SILDENAFIL,Viagra,Pfizer,PLUSEFEC COMPRIMIDOS RECUBIERTOS 100 mg,F-9434,CHEMOPHARMA S.A.
572,Disfunción Eréctil,SILDENAFIL,Viagra,Pfizer,SELERUP 50 COMPRIMIDOS RECUBIERTOS 50 mg,F-7668,GADOR LTDA.
573,Disfunción Eréctil,SILDENAFIL,Viagra,Pfizer,SEGUREX 50 COMPRIMIDOS RECUBIERTOS 50 mg,F-18830,GADOR LTDA.
574,Disfunción Eréctil,SILDENAFIL,Viagra,Pfizer,SILDENAFILO COMPRIMIDOS RECUBIERTOS 100 mg,F-21296,GALENICUM HEALTH CHILE S.p.A.
575,Disfunción Eréctil,SILDENAFIL,Viagra,Pfizer,SILDENAFILO COMPRIMIDOS RECUBIERTOS 50 mg,F-21311,GALENICUM HEALTH CHILE S.p.A.
576,Disfunción Eréctil,SILDENAFIL,Viagra,Pfizer,ALFIN COMPRIMIDOS RECUBIERTOS 50 mg,F-9430,INSTITUTO SANITAS S.A.
577,Disfunción Eréctil,SILDENAFIL,Viagra,Pfizer,ALFIN COMPRIMIDOS RECUBIERTOS 100 mg,F-9431,INSTITUTO SANITAS S.A.
578,Disfunción Eréctil,SILDENAFIL,Viagra,Pfizer,DISILDEN COMPRIMIDOS RECUBIERTOS 100 mg,F-17848,INTERPHARMA S.A.
579,Disfunción Eréctil,SILDENAFIL,Viagra,Pfizer,DISILDEN COMPRIMIDOS RECUBIERTOS 50 mg,F-17847,INTERPHARMA S.A.
580,Disfunción Eréctil,SILDENAFIL,Viagra,Pfizer,RIPOL COMPRIMIDOS RECUBIERTOS 50 mg,F-11957,LABORATORIO CHILE S.A.
581,Disfunción Eréctil,SILDENAFIL,Viagra,Pfizer,SILDENAFILO COMPRIMIDOS RECUBIERTOS 50 mg,F-11960,LABORATORIO CHILE S.A.
582,Disfunción Eréctil,SILDENAFIL,Viagra,Pfizer,VIGOREX COMPRIMIDOS RECUBIERTOS 100 mg,F-19963,LABORATORIOS EUROMED CHILE S.A.
583,Disfunción Eréctil,SILDENAFIL,Viagra,Pfizer,LIFTER COMPRIMIDOS RECUBIERTOS 50 mg,F-1893,LABORATORIOS SAVAL S.A.
584,Disfunción Eréctil,SILDENAFIL,Viagra,Pfizer,LIFTER COMPRIMIDOS RECUBIERTOS 100 mg,F-7020,LABORATORIOS SAVAL S.A.
585,Disfunción Eréctil,SILDENAFIL,Viagra,Pfizer,DIRTOP COMPRIMIDOS RECUBIERTOS 50 mg,F-19498,MEDIPHARM LTDA.
586,Disfunción Eréctil,SILDENAFIL,Viagra,Pfizer,ZILFIC COMPRIMIDOS RECUBIERTOS 100 mg,F-13810,MINTLAB CO. S.A.
